File,Phrase,Category,Severity,Count
lalaland.txt,fuck,sexual_toxicity,5,3
lalaland.txt,asshole,harassment,5,1
lalaland.txt,chick,sexual_toxicity,5,1
lalaland.txt,ass,harassment,5,1
lalaland.txt,kill,violent_speech,5,1
lalaland.txt,kkk,violent_extremism,5,1
lalaland.txt,idiotic,harassment,4,1
lalaland.txt,dick,sexual_toxicity,4,1
lalaland.txt,goddamned,religious_hate,4,1
lalaland.txt,shit,general_toxicity,3,5
lalaland.txt,insanity,ableism,3,2
lalaland.txt,hell,general_toxicity,3,2
lalaland.txt,horrific,general_toxicity,3,1
lalaland.txt,fat,general_toxicity,3,1
lalaland.txt,hating,harassment,3,1
lalaland.txt,choke,violent_speech,3,1
lalaland.txt,trash,harassment,3,1
lalaland.txt,ill,general_toxicity,2,13
lalaland.txt,burn,violent_speech,2,2
lalaland.txt,damn,general_toxicity,2,2
lalaland.txt,nuts,harassment,2,2
lalaland.txt,dirty,general_toxicity,2,2
lalaland.txt,crazy,ableism,2,2
lalaland.txt,fake,general_toxicity,2,1
lalaland.txt,fools,general_toxicity,2,1
lalaland.txt,obnoxious,general_toxicity,2,1
lalaland.txt,beating,violent_speech,2,1
lalaland.txt,hermit,general_toxicity,2,1
lalaland.txt,shoot,general_toxicity,1,5
lalaland.txt,crazed,general_toxicity,1,2
lalaland.txt,shoots,general_toxicity,1,2
lalaland.txt,hed,general_toxicity,1,2
lalaland.txt,weird,general_toxicity,1,2
lalaland.txt,pissed,general_toxicity,1,1
lalaland.txt,pants,general_slang,1,1
supertoxic.txt,pussy,sexual_toxicity,5,6
supertoxic.txt,fucking,sexual_toxicity,5,5
supertoxic.txt,fuck,sexual_toxicity,5,4
supertoxic.txt,wetback,hate_speech,5,2
supertoxic.txt,ass,harassment,5,1
supertoxic.txt,wop,hate_speech,5,1
supertoxic.txt,nazi,hate_extremism,4,1
supertoxic.txt,dick,sexual_toxicity,4,1
supertoxic.txt,fat,general_toxicity,3,2
supertoxic.txt,cock,sexual_toxicity,3,1
supertoxic.txt,suck,sexual_toxicity,3,1
supertoxic.txt,stupid,harassment,3,1
supertoxic.txt,useless,harassment,3,1
supertoxic.txt,loser,harassment,3,1
supertoxic.txt,fk,sexual_toxicity,3,1
supertoxic.txt,dirty,general_toxicity,2,2
supertoxic.txt,antiamerican,ideology_attack,2,1
supertoxic.txt,smelly,general_toxicity,1,1
toxic_sentence.csv,fucking,sexual_toxicity,5,83
toxic_sentence.csv,kill,violent_speech,5,61
toxic_sentence.csv,fuck,sexual_toxicity,5,46
toxic_sentence.csv,ass,harassment,5,15
toxic_sentence.csv,raped,sexual_violence,5,15
toxic_sentence.csv,killing,violent_speech,5,12
toxic_sentence.csv,nigga,hate_speech,5,8
toxic_sentence.csv,racism,hate_speech,5,8
toxic_sentence.csv,pussy,sexual_toxicity,5,7
toxic_sentence.csv,niggah,hate_speech,5,7
toxic_sentence.csv,niggas,hate_speech,5,7
toxic_sentence.csv,racist,hate_speech,5,5
toxic_sentence.csv,murderers,violent_speech,5,5
toxic_sentence.csv,racists,hate_speech,5,4
toxic_sentence.csv,murdered,violent_speech,5,4
toxic_sentence.csv,asshole,harassment,5,3
toxic_sentence.csv,kkk,violent_extremism,5,3
toxic_sentence.csv,cunt,sexual_toxicity,5,2
toxic_sentence.csv,rape,sexual_violence,5,2
toxic_sentence.csv,murder,violent_speech,5,2
toxic_sentence.csv,retarded,ableism,5,2
toxic_sentence.csv,murderer,violent_speech,5,2
toxic_sentence.csv,kills,violent_speech,5,2
toxic_sentence.csv,negro,hate_speech,5,2
toxic_sentence.csv,supremacist,hate_speech,5,2
toxic_sentence.csv,slave,hate_speech,5,2
toxic_sentence.csv,pedophilia,sexual_violence,5,1
toxic_sentence.csv,hitler,politic_related,5,1
toxic_sentence.csv,assholes,harassment,5,1
toxic_sentence.csv,killer,violent_speech,5,1
toxic_sentence.csv,fucker,sexual_toxicity,5,1
toxic_sentence.csv,faggot,hate_speech,5,1
toxic_sentence.csv,genocide,violent_speech,5,1
toxic_sentence.csv,motherfucking,sexual_violence,5,1
toxic_sentence.csv,motherfucker,sexual_violence,5,1
toxic_sentence.csv,supremacists,hate_speech,5,1
toxic_sentence.csv,pedophile,sexual_violence,5,1
toxic_sentence.csv,disgusting,general_toxicity,4,496
toxic_sentence.csv,bitch,harassment,4,16
toxic_sentence.csv,bullshit,harassment,4,11
toxic_sentence.csv,queer,sexual_identity,4,9
toxic_sentence.csv,boobs,sexual_toxicity,4,9
toxic_sentence.csv,bitches,harassment,4,7
toxic_sentence.csv,primitive,hate_speech,4,7
toxic_sentence.csv,goddamn,religious_hate,4,6
toxic_sentence.csv,idiot s,harassment,4,5
toxic_sentence.csv,isis,violent_extremism,4,5
toxic_sentence.csv,idiots,harassment,4,5
toxic_sentence.csv,idiot's,harassment,4,5
toxic_sentence.csv,idiots',harassment,4,5
toxic_sentence.csv,fags,hate_speech,4,3
toxic_sentence.csv,dick,sexual_toxicity,4,3
toxic_sentence.csv,suicide,harassment,4,3
toxic_sentence.csv,idiotic,harassment,4,2
toxic_sentence.csv,whore,sexual_toxicity,4,2
toxic_sentence.csv,fag,hate_speech,4,1
toxic_sentence.csv,idiot,harassment,4,1
toxic_sentence.csv,narcissist,political_attack,4,1
toxic_sentence.csv,narcissists,political_attack,4,1
toxic_sentence.csv,narcissistic,political_attack,4,1
toxic_sentence.csv,nazis,hate_extremism,4,1
toxic_sentence.csv,mick,hate_speech,4,1
toxic_sentence.csv,misogynistic,hate_speech,4,1
toxic_sentence.csv,homo,hate_speech,4,1
toxic_sentence.csv,prostitutes,sexual_toxicity,4,1
toxic_sentence.csv,shootout,harassment,4,1
toxic_sentence.csv,prostitution,sexual_toxicity,4,1
toxic_sentence.csv,slut,sexual_toxicity,4,1
toxic_sentence.csv,traitor,harassment,4,1
toxic_sentence.csv,lesbian,sexual_identity,4,1
toxic_sentence.csv,fat,general_toxicity,3,231
toxic_sentence.csv,shit,general_toxicity,3,66
toxic_sentence.csv,trash,harassment,3,53
toxic_sentence.csv,inferior,harassment,3,47
toxic_sentence.csv,worthless,harassment,3,46
toxic_sentence.csv,ignorant,harassment,3,44
toxic_sentence.csv,stupid,harassment,3,41
toxic_sentence.csv,ignorance,general_toxicity,3,39
toxic_sentence.csv,ridiculous,harassment,3,39
toxic_sentence.csv,useless,harassment,3,29
toxic_sentence.csv,predators,violent_speech,3,25
toxic_sentence.csv,hell,general_toxicity,3,21
toxic_sentence.csv,mental,ableism,3,20
toxic_sentence.csv,mentally,ableism,3,17
toxic_sentence.csv,loser,harassment,3,16
toxic_sentence.csv,perverted,sexual_toxicity,3,16
toxic_sentence.csv,bigots,hate_speech,3,13
toxic_sentence.csv,immoral,general_toxicity,3,13
toxic_sentence.csv,bigotry,hate_speech,3,12
toxic_sentence.csv,perverts,sexual_toxicity,3,12
toxic_sentence.csv,shitty,general_toxicity,3,11
toxic_sentence.csv,sucks,harassment,3,11
toxic_sentence.csv,spineless,harassment,3,7
toxic_sentence.csv,genitals,sexual_toxicity,3,7
toxic_sentence.csv,degenerate,harassment,3,6
toxic_sentence.csv,gay,sexual_identity,3,6
toxic_sentence.csv,irrational,harassment,3,6
toxic_sentence.csv,suck,sexual_toxicity,3,6
toxic_sentence.csv,pervert,sexual_toxicity,3,5
toxic_sentence.csv,disgrace,harassment,3,4
toxic_sentence.csv,threatened,harassment,3,4
toxic_sentence.csv,nauseating,general_toxicity,3,4
toxic_sentence.csv,stupidity,harassment,3,3
toxic_sentence.csv,predator,violent_speech,3,3
toxic_sentence.csv,hatefilled,harassment,3,3
toxic_sentence.csv,freak,harassment,3,3
toxic_sentence.csv,blow,general_toxicity,3,3
toxic_sentence.csv,horny,sexual_toxicity,3,3
toxic_sentence.csv,horrific,general_toxicity,3,3
toxic_sentence.csv,choke,violent_speech,3,3
toxic_sentence.csv,morons,harassment,3,2
toxic_sentence.csv,immorality,general_toxicity,3,2
toxic_sentence.csv,insane,ableism,3,2
toxic_sentence.csv,monster,harassment,3,2
toxic_sentence.csv,hoe,sexual_toxicity,3,2
toxic_sentence.csv,losers,harassment,3,2
toxic_sentence.csv,psychopath,harassment,3,2
toxic_sentence.csv,cock,sexual_toxicity,3,2
toxic_sentence.csv,homosexual,sexual_identity,3,2
toxic_sentence.csv,homophobic,hate_speech,3,1
toxic_sentence.csv,freakin,general_toxicity,3,1
toxic_sentence.csv,molested,sexual_violence,3,1
toxic_sentence.csv,homosexuals,sexual_identity,3,1
toxic_sentence.csv,incompetent,harassment,3,1
toxic_sentence.csv,looney,harassment,3,1
toxic_sentence.csv,psychotic,harassment,3,1
toxic_sentence.csv,shithole,harassment,3,1
toxic_sentence.csv,incompetence,harassment,3,1
toxic_sentence.csv,smut,sexual_toxicity,3,1
toxic_sentence.csv,brats,harassment,3,1
toxic_sentence.csv,sucker,harassment,3,1
toxic_sentence.csv,degenerates,harassment,3,1
toxic_sentence.csv,stinks,general_toxicity,3,1
toxic_sentence.csv,stoned,general_toxicity,3,1
toxic_sentence.csv,dirtbag,harassment,3,1
toxic_sentence.csv,abuser,violent_speech,3,1
toxic_sentence.csv,snowflakes,harassment,3,1
toxic_sentence.csv,disgraceful,harassment,3,1
toxic_sentence.csv,f'king,sexual_toxicity,3,1
toxic_sentence.csv,testicles,sexual_toxicity,3,1
toxic_sentence.csv,braindead,harassment,3,1
toxic_sentence.csv,threats,harassment,3,1
toxic_sentence.csv,torture,harassment,3,1
toxic_sentence.csv,freaks,harassment,3,1
toxic_sentence.csv,troll,harassment,3,1
toxic_sentence.csv,ridicule,harassment,3,1
toxic_sentence.csv,vermin,harassment,3,1
toxic_sentence.csv,freaking,general_toxicity,3,1
toxic_sentence.csv,ridiculously,harassment,3,1
toxic_sentence.csv,pathetic,harassment,2,110
toxic_sentence.csv,ill,general_toxicity,2,78
toxic_sentence.csv,ugly,harassment,2,68
toxic_sentence.csv,sick,harassment,2,56
toxic_sentence.csv,garbage,general_toxicity,2,38
toxic_sentence.csv,filthy,general_toxicity,2,36
toxic_sentence.csv,dumb,harassment,2,31
toxic_sentence.csv,abused,violent_speech,2,29
toxic_sentence.csv,vile,general_toxicity,2,28
toxic_sentence.csv,narrowminded,general_toxicity,2,25
toxic_sentence.csv,narrow minded,general_toxicity,2,25
toxic_sentence.csv,repulsive,general_toxicity,2,23
toxic_sentence.csv,terrible,general_toxicity,2,22
toxic_sentence.csv,damn,general_toxicity,2,21
toxic_sentence.csv,crap,general_toxicity,2,20
toxic_sentence.csv,miserable,general_toxicity,2,17
toxic_sentence.csv,lazy,general_toxicity,2,12
toxic_sentence.csv,filth,general_toxicity,2,12
toxic_sentence.csv,selfish,harassment,2,12
toxic_sentence.csv,oppressive,harassment,2,11
toxic_sentence.csv,shitty,general_toxicity,2,11
toxic_sentence.csv,crazy,ableism,2,10
toxic_sentence.csv,queer,sexual_identity,2,9
toxic_sentence.csv,boobs,sexual_toxicity,2,9
toxic_sentence.csv,evil,general_toxicity,2,7
toxic_sentence.csv,jerk,harassment,2,7
toxic_sentence.csv,rot,general_toxicity,2,7
toxic_sentence.csv,kick,general_toxicity,2,6
toxic_sentence.csv,hopeless,harassment,2,6
toxic_sentence.csv,dirty,general_toxicity,2,6
toxic_sentence.csv,ruining,general_toxicity,2,6
toxic_sentence.csv,gross,general_toxicity,2,6
toxic_sentence.csv,mad,general_toxicity,2,5
toxic_sentence.csv,balls,general_toxicity,2,5
toxic_sentence.csv,kicking,general_toxicity,2,4
toxic_sentence.csv,eradicated,violent_speech,2,4
toxic_sentence.csv,addict,general_toxicity,2,4
toxic_sentence.csv,insecure,general_toxicity,2,4
toxic_sentence.csv,burn,violent_speech,2,4
toxic_sentence.csv,burning,violent_speech,2,4
toxic_sentence.csv,kicked,general_toxicity,2,4
toxic_sentence.csv,rotten,general_toxicity,2,4
toxic_sentence.csv,messed,general_toxicity,2,4
toxic_sentence.csv,pesky,harassment,2,3
toxic_sentence.csv,scum,harassment,2,3
toxic_sentence.csv,ungrateful,harassment,2,3
toxic_sentence.csv,mediocre,general_toxicity,2,3
toxic_sentence.csv,vengeful,general_toxicity,2,3
toxic_sentence.csv,hairy,general_toxicity,2,3
toxic_sentence.csv,jerks,harassment,2,3
toxic_sentence.csv,creepy,harassment,2,3
toxic_sentence.csv,screwed,harassment,2,2
toxic_sentence.csv,fools,general_toxicity,2,2
toxic_sentence.csv,hypocrite,harassment,2,2
toxic_sentence.csv,anus,sexual_toxicity,2,2
toxic_sentence.csv,vicious,general_toxicity,2,2
toxic_sentence.csv,supremacist,hate_speech,2,2
toxic_sentence.csv,naked,sexual_reference,2,2
toxic_sentence.csv,fake,general_toxicity,2,2
toxic_sentence.csv,zombie,general_toxicity,2,2
toxic_sentence.csv,rubbish,general_toxicity,2,1
toxic_sentence.csv,screwing,harassment,2,1
toxic_sentence.csv,crappy,general_toxicity,2,1
toxic_sentence.csv,damned,general_toxicity,2,1
toxic_sentence.csv,shameless,harassment,2,1
toxic_sentence.csv,parasites,harassment,2,1
toxic_sentence.csv,sicko,harassment,2,1
toxic_sentence.csv,stalker,harassment,2,1
toxic_sentence.csv,parasitic,harassment,2,1
toxic_sentence.csv,lousy,general_toxicity,2,1
toxic_sentence.csv,maniacs,general_toxicity,2,1
toxic_sentence.csv,negligence,general_toxicity,2,1
toxic_sentence.csv,oral,sexual_toxicity,2,1
toxic_sentence.csv,manipulating,general_toxicity,2,1
toxic_sentence.csv,hypocrites,harassment,2,1
toxic_sentence.csv,fails,general_toxicity,2,1
toxic_sentence.csv,atrocities,violent_speech,2,1
toxic_sentence.csv,thieving,harassment,2,1
toxic_sentence.csv,creep,harassment,2,1
toxic_sentence.csv,burns,violent_speech,2,1
toxic_sentence.csv,undeserving,harassment,2,1
toxic_sentence.csv,unethical,general_toxicity,2,1
toxic_sentence.csv,unfaithful,general_toxicity,2,1
toxic_sentence.csv,darn,general_toxicity,2,1
toxic_sentence.csv,unstable,harassment,2,1
toxic_sentence.csv,heroin,general_toxicity,2,1
toxic_sentence.csv,kicks,general_toxicity,2,1
toxic_sentence.csv,rancid,general_toxicity,2,1
toxic_sentence.csv,incompetence,harassment,2,1
