===== ANALYSIS REPORT FOR: lalaland.txt =====
Phrase/Word               Category             Severity   Count     
-------------------------------------------------------------
fuck                      sexual_toxicity      5          3         
asshole                   harassment           5          1         
chick                     sexual_toxicity      5          1         
ass                       harassment           5          1         
kill                      violent_speech       5          1         
kkk                       violent_extremism    5          1         
idiotic                   harassment           4          1         
dick                      sexual_toxicity      4          1         
goddamned                 religious_hate       4          1         
shit                      general_toxicity     3          5         
insanity                  ableism              3          2         
hell                      general_toxicity     3          2         
horrific                  general_toxicity     3          1         
fat                       general_toxicity     3          1         
hating                    harassment           3          1         
choke                     violent_speech       3          1         
trash                     harassment           3          1         
ill                       general_toxicity     2          13        
burn                      violent_speech       2          2         
damn                      general_toxicity     2          2         
nuts                      harassment           2          2         
dirty                     general_toxicity     2          2         
crazy                     ableism              2          2         
fake                      general_toxicity     2          1         
fools                     general_toxicity     2          1         
obnoxious                 general_toxicity     2          1         
beating                   violent_speech       2          1         
hermit                    general_toxicity     2          1         
shoot                     general_toxicity     1          5         
crazed                    general_toxicity     1          2         
shoots                    general_toxicity     1          2         
hed                       general_toxicity     1          2         
weird                     general_toxicity     1          2         
pissed                    general_toxicity     1          1         
pants                     general_slang        1          1         

===== ANALYSIS REPORT FOR: supertoxic.txt =====
Phrase/Word               Category             Severity   Count     
-------------------------------------------------------------
pussy                     sexual_toxicity      5          6         
fucking                   sexual_toxicity      5          5         
fuck                      sexual_toxicity      5          4         
wetback                   hate_speech          5          2         
ass                       harassment           5          1         
wop                       hate_speech          5          1         
nazi                      hate_extremism       4          1         
dick                      sexual_toxicity      4          1         
fat                       general_toxicity     3          2         
cock                      sexual_toxicity      3          1         
suck                      sexual_toxicity      3          1         
stupid                    harassment           3          1         
useless                   harassment           3          1         
loser                     harassment           3          1         
fk                        sexual_toxicity      3          1         
dirty                     general_toxicity     2          2         
antiamerican              ideology_attack      2          1         
smelly                    general_toxicity     1          1         

===== ANALYSIS REPORT FOR: toxic_sentence.csv =====
Phrase/Word               Category             Severity   Count     
-------------------------------------------------------------
fucking                   sexual_toxicity      5          83        
kill                      violent_speech       5          61        
fuck                      sexual_toxicity      5          46        
ass                       harassment           5          15        
raped                     sexual_violence      5          15        
killing                   violent_speech       5          12        
nigga                     hate_speech          5          8         
racism                    hate_speech          5          8         
pussy                     sexual_toxicity      5          7         
niggah                    hate_speech          5          7         
niggas                    hate_speech          5          7         
racist                    hate_speech          5          5         
murderers                 violent_speech       5          5         
racists                   hate_speech          5          4         
murdered                  violent_speech       5          4         
asshole                   harassment           5          3         
kkk                       violent_extremism    5          3         
cunt                      sexual_toxicity      5          2         
rape                      sexual_violence      5          2         
murder                    violent_speech       5          2         
retarded                  ableism              5          2         
murderer                  violent_speech       5          2         
kills                     violent_speech       5          2         
negro                     hate_speech          5          2         
supremacist               hate_speech          5          2         
slave                     hate_speech          5          2         
pedophilia                sexual_violence      5          1         
hitler                    politic_related      5          1         
assholes                  harassment           5          1         
killer                    violent_speech       5          1         
fucker                    sexual_toxicity      5          1         
faggot                    hate_speech          5          1         
genocide                  violent_speech       5          1         
motherfucking             sexual_violence      5          1         
motherfucker              sexual_violence      5          1         
supremacists              hate_speech          5          1         
pedophile                 sexual_violence      5          1         
disgusting                general_toxicity     4          496       
bitch                     harassment           4          16        
